Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
leba_title,your_light_behaviour,Your light behaviour,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Please indicate how often you performed the following behaviours in the </span>past 4 weeks<span style=""font-weight: normal;"">.</span></p></div>",,,,,,,,,,,,,
leba_F1_01,leba_short,,radio,"I wear blue-filtering, orange-tinted, and/or red-tinted glasses indoors during the day."," 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_F1_02,leba_short,,radio,"I wear blue-filtering, orange-tinted, and/or red-tinted glasses outdoors during the day."," 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_F1_03,leba_short,,radio,"I wear blue-filtering, orange-tinted, and/or red-tinted glasses within 1 hour before attempting to fall asleep."," 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_F2_04,leba_short,,radio,I spend 30 minutes or less per day (in total) outside.," 5, Never | 4, Rarely | 3, Sometimes | 2, Often | 1, Always",,,,,,,y,,,,,
leba_F2_05,leba_short,,radio,I spend between 30 minutes and 1 hour per day (in total) outside.," 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_F2_06,leba_short,,radio,I spend between 1 and 3 hours per day (in total) outside.," 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_F2_07,leba_short,,radio,I spend more than 3 hours per day (in total) outside.," 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_F2_08,leba_short,,radio,I spend as much time outside as possible.," 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_F2_09,leba_short,,radio,I go for a walk or exercise outside within 2 hours after waking up.," 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_F3_10,leba_short,,radio,I use my mobile phone within 1 hour before attempting to fall asleep.," 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_F3_11,leba_short,,radio,I look at my mobile phone screen immediately after waking up.," 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_F3_12,leba_short,,radio,I check my phone when I wake up at night.," 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_F4_15,leba_short,,radio,I dim my mobile phone screen within 1 hour before attempting to fall asleep.," 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_F4_16,leba_short,,radio,I use a blue-filter app on my computer screen within 1 hour before attempting to fall asleep.," 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_F4_18,leba_short,,radio,I dim my computer screen within 1 hour before attempting to fall asleep.," 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_F5_19,leba_short,,radio,I use tunable lights to create a healthy light environment.," 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_F5_20,leba_short,,radio,I use LEDs to create a healthy light environment.," 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_F5_22,leba_short,,radio,I use an alarm with a dawn simulation light.," 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
